School,Team Name,Conference,Total Points,Games Played,Offensive Rebounds,Defensive Rebounds,Personal Fouls,Steals,Assists,Blocks,Turnovers,2-points %,3-point shooting %,Field Goals %,Free Throws %
Utah,Utes,Pacific 12,2343,31,259,728,549,144,440,80,405,0.546,0.37,0.464,0.706
Oregon,Ducks,Pacific 12,2612,37,310,856,651,285,493,161,432,0.518,0.351,0.452,0.721
Washington State,Cougars,Pacific 12,2393,32,243,752,554,169,476,89,439,0.515,0.364,0.448,0.757
USC,Trojans,Pacific 12,2518,33,280,819,591,202,536,117,392,0.503,0.382,0.46,0.645
Oregon State,Beavers,Pacific 12,2275,31,275,726,536,185,465,164,386,0.545,0.321,0.463,0.742
Stanford,Cardinal,Pacific 12,2255,31,265,785,586,186,393,147,464,0.532,0.317,0.453,0.672
Arizona,Wildcats,Pacific 12,2269,32,268,737,595,165,397,73,370,0.481,0.336,0.427,0.719
Colorado,Buffaloes,Pacific 12,2593,35,289,910,598,178,470,106,463,0.528,0.326,0.457,0.751
California,Golden Bears,Pacific 12,2121,31,207,614,574,227,335,99,350,0.465,0.35,0.426,0.723
Arizona State,Sun Devils,Pacific 12,2638,34,335,883,679,213,459,109,466,0.508,0.336,0.447,0.68
Washington,Huskies,Pacific 12,2511,36,281,729,654,322,419,204,480,0.519,0.35,0.451,0.695
UCLA,Bruins,Pacific 12,2580,33,334,922,563,194,472,135,466,0.514,0.355,0.457,0.633
Jacksonville State,Gamecocks,Ohio Valley,2574,33,353,843,552,245,451,138,440,0.527,0.315,0.462,0.743
Eastern Illinois,Panthers,Ohio Valley,2299,32,306,761,569,200,434,120,427,0.471,0.37,0.432,0.688
Southeast Missouri State,Redhawks,Ohio Valley,2216,31,237,754,615,182,402,75,447,0.486,0.37,0.44,0.69
Murray State,Racers,Ohio Valley,2727,33,322,848,528,249,590,149,398,0.572,0.353,0.492,0.731
Tennessee State,Tigers,Ohio Valley,2182,30,278,675,735,219,342,78,497,0.5,0.335,0.432,0.701
Tennessee-Martin,Skyhawks,Ohio Valley,2356,31,314,659,490,223,441,88,418,0.508,0.344,0.446,0.754
Belmont,Bruins,Ohio Valley,2853,33,247,946,509,221,645,125,376,0.596,0.372,0.498,0.737
Austin Peay,Governors,Ohio Valley,2712,33,369,774,596,252,454,110,392,0.519,0.382,0.472,0.706
Morehead State,Eagles,Ohio Valley,2431,33,300,772,561,186,440,137,402,0.483,0.341,0.429,0.705
SIU-Edwardsville,Cougars,Ohio Valley,2265,31,294,689,612,198,382,70,437,0.481,0.302,0.418,0.703
