week,market,mascot,rank,prev_rank,wins,losses,points
W2,Duke,Blue Devils,1,4,2,0,1606
W2,Kansas,Jayhawks,2,1,1,0,1571
W2,Gonzaga,Bulldogs,3,3,2,0,1478
W2,Virginia,Cavaliers,4,5,2,0,1326
W2,Tennessee,Volunteers,5,6,2,0,1306
W2,Nevada,Wolf Pack,6,7,2,0,1277
W2,North Carolina,Tar Heels,7,8,2,0,1260
W2,Villanova,Wildcats,8,9,2,0,1139
W2,Auburn,Tigers,9,11,2,0,1132
W2,Kentucky,Wildcats,10,2,1,1,1054
W2,Michigan State,Spartans,11,10,1,1,919
W2,Kansas State,Wildcats,12,12,1,0,892
W2,Oregon,Ducks,13,14,2,0,739
W2,Florida State,Seminoles,14,17,2,0,731
W2,Syracuse,Orange,15,16,2,0,673
W2,Virginia Tech,Hokies,16,15,1,0,664
W2,Mississippi State,Bulldogs,17,18,2,0,549
W2,Michigan,Wolverines,18,19,2,0,486
W2,Clemson,Tigers,19,22,2,0,350
W2,UCLA,Bruins,20,21,2,0,340
W2,TCU,Horned Frogs,21,20,2,0,323
W2,LSU,Tigers,22,23,2,0,248
W2,Purdue,Boilermakers,23,24,2,0,218
W2,Marquette,Golden Eagles,24,,2,0,155
W2,Buffalo,Bulls,25,,2,0,154
W3,Duke,Blue Devils,1,1,3,0,1564
W3,Kansas,Jayhawks,2,2,3,0,1510
W3,Gonzaga,Bulldogs,3,3,3,0,1437
W3,Virginia,Cavaliers,4,4,3,0,1299
W3,Tennessee,Volunteers,5,5,3,0,1281
W3,Nevada,Wolf Pack,6,6,3,0,1253
W3,North Carolina,Tar Heels,7,7,4,0,1246
W3,Auburn,Tigers,8,9,3,0,1123
W3,Michigan,Wolverines,9,18,5,0,1021
W3,Kentucky,Wildcats,10,10,3,1,980
W3,Michigan State,Spartans,11,11,3,1,937
W3,Kansas State,Wildcats,12,12,4,0,889
W3,Virginia Tech,Hokies,13,16,4,0,849
W3,Florida State,Seminoles,14,14,2,0,794
W3,Mississippi State,Bulldogs,15,17,3,0,619
W3,Clemson,Tigers,16,19,3,0,462
W3,UCLA,Bruins,17,20,3,0,430
W3,TCU,Horned Frogs,18,21,3,0,388
W3,LSU,Tigers,19,22,4,0,358
W3,Iowa,Hawkeyes,20,,4,0,354
W3,Oregon,Ducks,21,13,3,1,325
W3,Buffalo,Bulls,22,25,3,0,240
W3,Ohio State,Buckeyes,23,,4,0,222
W3,Purdue,Boilermakers,24,23,4,1,199
W3,Wisconsin,Badgers,25,,3,0,150
W4,Gonzaga,Bulldogs,1,3,6,0,1590
W4,Kansas,Jayhawks,2,2,5,0,1584
W4,Duke,Blue Devils,3,1,5,1,1486
W4,Virginia,Cavaliers,4,4,6,0,1396
W4,Nevada,Wolf Pack,5,6,6,0,1329
W4,Tennessee,Volunteers,6,5,4,1,1284
W4,Michigan,Wolverines,7,9,6,0,1213
W4,Auburn,Tigers,8,8,5,1,1129
W4,Michigan State,Spartans,9,11,5,1,1111
W4,Kentucky,Wildcats,10,10,5,1,1022
W4,North Carolina,Tar Heels,11,7,6,1,943
W4,Kansas State,Wildcats,12,12,6,0,936
W4,Virginia Tech,Hokies,13,13,5,0,921
W4,Iowa,Hawkeyes,14,20,5,0,599
W4,Florida State,Seminoles,15,14,5,1,581
W4,Ohio State,Buckeyes,16,23,6,0,511
W4,Texas,Longhorns,17,,5,1,486
W4,Oregon,Ducks,18,21,4,1,439
W4,Purdue,Boilermakers,19,24,5,1,387
W4,Texas Tech,Red Raiders,20,,6,0,380
W4,Buffalo,Bulls,21,22,5,0,351
W4,Wisconsin,Badgers,22,25,5,1,253
W4,Villanova,Wildcats,23,,5,2,217
W4,Maryland,Terrapins,24,,6,0,170
W4,Mississippi State,Bulldogs,25,15,4,1,161
W5,Gonzaga,Bulldogs,1,1,8,0,1578
W5,Kansas,Jayhawks,2,2,6,0,1539
W5,Duke,Blue Devils,3,3,7,1,1463
W5,Virginia,Cavaliers,4,4,7,0,1367
W5,Michigan,Wolverines,5,7,8,0,1339
